id (prid),Pavadinimas (prname),FaktineKaina (prprice),Buvusi Kaina (prdiscount),Kaina,Nuolaida,Aprašymas (prdescription),Medžiaga (prmaterial),Plotis (prwidth),Aukštis (prheight),Storis (prthickness),Svoris (prweight),Kategorija1 (prcategory),Kategorija2,Kategorija3,Panašūs produktai,Raktaž be LT raidziu (prkeywords),-,-,Interesų klasės (printerestsclass),Medžiaga1 (prmaterial1),Kiekis1 (prmat1consumption),Medžiaga2 (prmaterial2),Kiekis2 (prmat2consumption),Medžiaga3  (prmaterial3),Kiekis3 (prmat3consumption),MaketLaikas (prmakettime),CNC Laikas (prcnctime),LaserLaikas (prlasertime),HandworkLaikas (prhandworktime),Photo1 (prphoto1),Photo2 (prphoto2),Photo3 (prphoto3),Photo4 (prphoto4),Photo5 (prphoto5),Photo6 (prphoto6),Photo7 (prphoto7),photo8 (prphoto8),photo9 (prphoto9),photo10 (prphoto10),configurator type,Tipas,Įkainis,medziaga,kaina
11,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,88,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7920,0,0,0,0,600,0,90,25,christmas/cust11.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
12,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,72,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,6480,0,0,0,0,600,0,90,25,christmas/cust12.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
13,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,89,86,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7654,0,0,0,0,600,0,90,25,christmas/star2.jpg,,,,,,,,,,3d,basic,,fanera4mm,
14,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,85,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7650,0,0,0,0,600,0,90,25,christmas/cust14.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
15,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,85,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7650,0,0,0,0,600,0,90,25,christmas/cust15.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
16,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,85,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7650,0,0,0,0,600,0,90,25,christmas/cust16.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
17,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,86,106,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,9116,0,0,0,0,600,0,90,25,christmas/cust17.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
18,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,88,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7920,0,0,0,0,600,0,90,25,christmas/cust18.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
19,Kalėdinis žaisliukas su Jūsų tekstu,199,0,199,0,"Individualizuotas medinis kalėdinis žaisliukas su Jūsų tekstu. Šiuo žaisliuku galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Pagaminta iš beržo arba alksnio faneros, pridedama lininė virvutė žaisliuko pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,85,90,3,25,Nauji metai/Kalėdos,-,-,customchristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai;personalizuota;personalizuotas;individualizuota;individualizuotas;vardinis;vardiniai,,,su mintimi,fanera3mm,7650,0,0,0,0,600,0,90,25,christmas/cust19.jpg,,,,,,,,,,3d,personalised,,fanera4mm,10
20,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,77,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6853,0,0,0,0,600,0,90,25,christmas/snowflake5.jpg,,,,,,,,,,,basic,,fanera4mm,
21,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,78,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6942,0,0,0,0,600,0,90,25,christmas/star1.jpg,,,,,,,,,,,basic,,fanera4mm,
22,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball1.jpg,,,,,,,,,,,basic,,fanera4mm,
23,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball2.jpg,,,,,,,,,,,basic,,fanera4mm,
24,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball3.jpg,,,,,,,,,,,basic,,fanera4mm,
25,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball5.jpg,,,,,,,,,,,basic,,fanera4mm,
26,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball6.jpg,,,,,,,,,,,basic,,fanera4mm,
27,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball7.jpg,,,,,,,,,,,basic,,fanera4mm,
28,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball8.jpg,,,,,,,,,,,basic,,fanera4mm,
29,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,75,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,6675,0,0,0,0,600,0,90,25,christmas/ball9.jpg,,,,,,,,,,,basic,,fanera4mm,
30,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,82,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7298,0,0,0,0,600,0,90,25,christmas/ball10.jpg,,,,,,,,,,,basic,,fanera4mm,
31,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7120,0,0,0,0,600,0,90,25,christmas/ball11.jpg,,,,,,,,,,,basic,,fanera4mm,
32,Kalėdinis žaisliukas,199,0,199,0,"Medinis kalėdinis žaisliukas, kuriuo galėsite papuošti eglutę, dovanas, bei dovanoti kitiems. Šis žaisliukas gaminamas iš beržo arba alksnio faneros. Pridedama lininė virvutė pakabinimui. Faneros paviršiaus atspalvis, graviravimo atspalvis ir virvutė gali skirtis nuo prekės nuotraukoje esančių.",Medis,80,89,3,25,Nauji metai/Kalėdos,-,-,simplechristmasornament,kaledos;kalediniai zaisliukai;kaledinis zaisliukas;eglutes zaisliukas;kaledines dekoracijos;kaledu;kaledoms;nauji metai;naujametinis;naujametiniai,,,su mintimi,fanera3mm,7120,0,0,0,0,600,0,90,25,christmas/ball12.jpg,,,,,,,,,,,basic,,fanera4mm,
